0,195,1
97,301,2
196,405,3
302,526,3
406,626,3
527,731,4
627,818,4
732,914,5
819,1008,5
915,1108,5
1009,1212,5
1109,1301,6
1213,1411,7
1302,1500,7
1412,1593,8
1501,1698,8
1594,1799,9
1699,1906,9
1800,2016,10
1907,2137,11
2017,2251,12
2138,2350,13
2252,2455,14
2351,2549,15
2456,2645,15
2550,2752,16
2646,2866,17
2753,2961,18
2867,3053,19
2962,3145,19
3054,3248,20
3146,3362,20
3249,3467,21
3363,3567,22
3468,3671,22
3568,3774,23
3672,3873,24
3775,3974,24
3874,4075,25
3975,4171,26
4076,4292,26
4172,4399,26
4293,4507,27
4400,4610,27
4508,4709,28
4611,4818,29
4710,4918,29
4819,5027,30
4919,5121,30
5028,5223,31
5122,5326,31
5224,5430,32
5327,5537,32
5431,5632,32
5538,5731,33
5633,5826,33
5732,5927,34
5827,6023,34
5928,6129,35
6024,6233,36
6130,6339,36
6234,6435,37
6340,6528,38
6436,6639,38
6529,6738,39
6640,6851,39
6739,6954,40
6852,7052,41
6955,7161,42
7053,7251,42
7162,7372,42
7252,7485,43
7373,7595,44
7486,7701,44
7596,7757,45
