0,208,1
98,311,1
209,410,2
312,513,3
411,630,4
514,758,5
631,859,5
759,978,7
860,1096,7
979,1216,8
1097,1324,9
1217,1420,9
1325,1525,10
1421,1636,11
1526,1752,12
1637,1848,12
1753,1951,13
1849,2053,13
1952,2173,15
2054,2283,15
2174,2403,16
2284,2503,17
2404,2612,17
2504,2705,18
2613,2810,18
2706,2912,19
2811,3023,20
2913,3118,20
3024,3222,21
3119,3318,21
3223,3416,21
3319,3501,22
3417,3597,23
3502,3719,23
3598,3811,23
3720,3911,24
3812,4009,24
3912,4125,25
4010,4224,26
4126,4321,26
4225,4423,27
4322,4526,28
4424,4628,29
4527,4724,30
4629,4827,30
4725,4938,31
4828,5050,33
4939,5142,33
5051,5239,34
5143,5350,35
5240,5441,36
5351,5552,37
5442,5660,37
5553,5761,38
5661,5876,39
5762,5973,40
5877,6077,41
5974,6187,42
6078,6204,43
