0,183,1
96,285,2
184,378,2
286,472,3
379,577,3
473,673,3
578,776,4
674,873,4
777,970,5
874,1075,5
971,1175,6
1076,1273,6
1176,1375,6
1274,1487,7
1376,1585,8
1488,1679,9
1586,1778,10
1680,1874,10
1779,1969,11
1875,2092,12
1970,2196,12
2093,2303,13
2197,2397,14
2304,2501,15
2398,2611,16
2502,2707,17
2612,2808,18
2708,2905,19
2809,3016,19
2906,3112,20
3017,3211,20
3113,3314,21
3212,3409,22
3315,3510,23
3410,3625,23
3511,3721,24
3626,3830,25
3722,3926,25
3831,4028,25
3927,4124,26
4029,4229,26
4125,4321,27
4230,4431,28
4322,4526,28
4432,4618,29
4527,4721,30
4619,4816,30
4722,4909,31
4817,5010,31
4910,5102,31
5011,5205,32
5103,5302,32
5206,5398,33
5303,5503,34
5399,5609,34
5504,5707,35
5610,5800,36
5708,5896,37
5801,6007,37
5897,6107,38
6008,6195,39
6108,6288,39
6196,6388,40
6289,6487,41
6389,6580,42
6488,6682,43
6581,6790,43
6683,6888,44
6791,6993,45
6889,7105,45
6994,7203,46
7106,7294,47
7204,7392,48
7295,7485,49
7393,7585,49
7486,7684,50
7586,7765,51
7685,7877,51
7766,7977,51
7878,8081,52
7978,8175,52
8082,8275,53
8176,8380,54
8276,8480,55
8381,8585,55
8481,8672,55
8586,8764,56
8673,8861,56
8765,8967,57
8862,9070,57
8968,9166,58
9071,9255,58
