0,204,1
103,306,1
205,409,3
307,507,4
410,616,5
508,724,6
617,822,7
725,922,8
823,1006,9
923,1113,10
1007,1212,10
1114,1318,11
1213,1429,12
1319,1542,13
1430,1638,14
1543,1755,15
1639,1869,16
1756,1971,17
1870,2075,18
1972,2183,19
2076,2286,20
2184,2361,22
