0,223,1
110,337,2
224,475,2
338,589,3
476,701,3
590,862,3
702,1011,4
863,1120,4
1012,1246,5
1121,1365,5
1247,1480,5
1366,1588,5
1481,1715,5
1589,1825,6
1716,1947,6
1826,2061,6
1948,2171,6
2062,2302,6
2172,2425,7
2303,2541,7
2426,2680,8
2542,2807,8
2681,2942,8
2808,3053,9
2943,3174,9
3054,3307,9
3175,3419,10
3308,3531,10
3420,3641,10
3532,3750,11
3642,3868,11
3751,3982,11
3869,4099,12
3983,4212,12
4100,4348,12
4213,4462,13
4349,4572,13
4463,4683,13
4573,4783,14
4684,4903,14
4784,5009,14
4904,5123,15
5010,5227,15
5124,5350,15
5228,5465,16
5351,5595,17
5466,5710,17
5596,5842,17
5711,5977,17
5843,6093,17
5978,6192,17
6094,6304,18
6193,6424,18
6305,6533,18
6425,6664,19
6534,6785,19
6665,6904,20
6786,7057,20
6905,7194,20
7058,7309,21
7195,7418,21
7310,7539,22
7419,7606,22
