0,516
4,520
10,525
16,528
21,532
27,539
29,543
33,546
37,552
40,558
44,562
49,568
52,573
59,577
63,581
65,584
72,588
78,595
83,599
87,604
90,608
94,615
101,618
105,622
109,627
116,633
119,636
123,641
128,645
134,653
139,657
144,671
149,677
153,680
160,684
163,691
170,694
174,698
189,705
193,709
200,722
203,726
211,733
215,736
222,740
226,747
233,751
236,756
246,761
250,767
253,773
257,778
262,782
265,788
269,792
275,796
279,804
285,810
290,814
294,819
297,824
303,828
317,833
320,837
324,841
329,846
332,850
336,854
342,860
346,865
349,869
355,873
359,881
365,891
371,895
375,897
381,904
384,910
388,916
394,921
402,927
410,931
416,935
420,939
428,943
431,947
435,952
441,958
445,964
450,970
464,976
470,981
473,987
479,991
483,996
489,1006
493,1010
501,1014
506,1019
513,1025
517,1029
521,1035
526,1040
529,1044
533,1048
540,1052
544,1056
547,1064
553,1070
559,1076
563,1081
569,1084
574,1088
578,1093
582,1096
585,1100
589,1105
596,1109
600,1113
605,1120
609,1126
616,1132
619,1136
623,1140
628,1145
634,1148
637,1152
642,1166
646,1171
654,1176
658,1182
672,1186
678,1191
681,1195
685,1203
692,1206
695,1210
699,1213
706,1218
710,1228
723,1232
727,1236
734,1242
737,1248
741,1251
748,1256
752,1259
757,1263
762,1273
768,1276
774,1280
779,1286
783,1289
789,1293
793,1300
797,1306
805,1310
811,1315
815,1319
820,1322
825,1327
829,1331
834,1337
838,1343
842,1346
847,1348
851,1353
855,1356
861,1363
866,1369
870,1375
874,1381
882,1385
892,1388
896,1395
898,1398
905,1402
911,1410
917,1413
922,1416
928,1422
932,1426
936,1435
940,1441
944,1445
948,1449
953,1454
959,1460
965,1463
971,1473
977,1477
982,1480
988,1486
992,1491
997,1494
1007,1499
1011,1502
1015,1507
1020,1512
1026,1517
1030,1521
1036,1526
1041,1532
1045,1536
1049,1540
1053,1545
1057,1551
1065,1555
1071,1562
1077,1567
1082,1570
1085,1578
1089,1582
1094,1590
1097,1593
1101,1597
1106,1605
1110,1611
1114,1617
1121,1620
1127,1626
1133,1631
1137,1640
1141,1644
1146,1649
1149,1656
1153,1660
1167,1665
1172,1674
1177,1678
1183,1683
1187,1689
1192,1693
1196,1698
1204,1704
1207,1708
1211,1713
1214,1721
1219,1725
1229,1730
1233,1738
1237,1742
1243,1747
1249,1751
1252,1759
1257,1762
1260,1766
1264,1771
1274,1775
1277,1778
1281,1784
1287,1788
1290,1791
1294,1794
1301,1801
1307,1805
1311,1809
1316,1818
1320,1822
1323,1828
1328,1837
1332,1841
1338,1850
1344,1853
1347,1861
1349,1865
1354,1872
1357,1881
1364,1885
1370,1895
1376,1898
1382,1904
1386,1909
1389,1913
1396,1918
1399,1926
1403,1929
1411,1933
1414,1940
1417,1944
1423,1949
1427,1954
1436,1957
1442,1965
1446,1971
1450,1979
1455,1983
1461,1987
1464,1999
1474,2002
1478,2008
1481,2014
1487,2017
1492,2021
1495,2026
1500,2034
1503,2040
1508,2044
1513,2049
1518,2056
1522,2060
1527,2066
1533,2072
1537,2076
1541,2080
1546,2089
1552,2093
1556,2098
1563,2104
1568,2108
1571,2113
1579,2117
1583,2127
1591,2130
1594,2134
1598,2146
1606,2153
1612,2157
1618,2163
1621,2168
1627,2174
1632,2180
1641,2185
1645,2188
1650,2192
1657,2197
1661,2207
1666,2212
1675,2218
1679,2222
1684,2228
1690,2233
1694,2238
1699,2243
1705,2247
1709,2253
1714,2257
1722,2261
1726,2270
1731,2273
1739,2279
1743,2285
1748,2290
1752,2296
1760,2300
1763,2304
1767,2309
1772,2315
1776,2323
1779,2331
1785,2335
1789,2342
1792,2345
1795,2349
1802,2358
1806,2363
1810,2367
1819,2372
1823,2376
1829,2383
1838,2388
1842,2394
1851,2397
1854,2403
1862,2407
1866,2412
1873,2417
1882,2421
1886,2428
1896,2432
1899,2438
1905,2444
1910,2447
1914,2450
1919,2454
1927,2460
1930,2469
1934,2473
1941,2478
1945,2482
1950,2485
1955,2490
1958,2499
1966,2503
1972,2509
1980,2515
1984,2518
1988,2521
2000,2529
2003,2533
2009,2537
2015,2545
2018,2548
2022,2552
2027,2560
2035,2566
2041,2572
2045,2575
2050,2581
2057,2586
2061,2595
2067,2600
2073,2603
2077,2606
2081,2610
2090,2613
2094,2620
2099,2623
2105,2627
2109,2631
2114,2636
2118,2639
2128,2644
2131,2647
2135,2651
2147,2654
2154,2658
2158,2663
2164,2666
2169,2673
